Gender,Rank,Years-Rank,HighDegree,Years-Degree,Salary
male,3,25,1,35,36350
male,3,13,1,22,35350
male,3,10,1,23,28200
female,3,7,1,27,26775
male,3,19,0,30,33696
male,3,16,1,21,28516
female,3,0,0,32,24900
male,3,16,1,18,31909
male,3,13,0,30,31850
male,3,13,0,31,32850
male,3,12,1,22,27025
male,2,15,1,19,24750
male,3,9,1,17,28200
male,2,9,0,27,23712
male,3,9,1,24,25748
male,3,7,1,15,29342
male,3,13,1,20,31114
male,2,11,0,14,24742
male,2,10,0,15,22906
male,3,6,0,21,24450
male,1,16,0,23,19175
male,2,8,0,31,20525
male,3,7,1,13,27959
female,3,8,1,24,38045
male,2,9,1,12,24832
male,3,5,1,18,25400
male,2,11,1,14,24800
female,3,5,1,16,25500
male,2,3,0,7,26182
male,2,3,0,17,23725
female,1,10,0,15,21600
male,2,11,0,31,23300
male,1,9,0,14,23713
female,2,4,0,33,20690
female,2,6,0,29,22450
male,2,1,1,9,20850
female,1,8,1,14,18304
male,1,4,1,4,17095
male,1,4,1,5,16700
male,1,4,1,4,17600
male,1,3,1,4,18075
male,1,3,0,11,18000
male,2,0,1,7,20999
female,1,3,1,3,17250
male,1,2,1,3,16500
male,1,2,1,1,16094
female,1,2,1,6,16150
female,1,2,1,2,15350
male,1,1,1,1,16244
female,1,1,1,1,16686
female,1,1,1,1,15000
female,1,0,1,2,20300
